Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.37     0.00    21810     0.00     0.00  std::__uniq_ptr_impl<titan::core::BackendConnection, std::default_delete<titan::core::BackendConnection> >::reset(titan::core::BackendConnection*)
  0.00      0.37     0.00    21809     0.00     0.00  titan::http::Parser::on_body(llhttp__internal_s*, char const*, unsigned long)
  0.00      0.37     0.00    21799     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::compare(std::basic_string_view<char, std::char_traits<char> >) const
  0.00      0.37     0.00    21793     0.00     0.00  std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::reserve(unsigned long)
  0.00      0.37     0.00    21703     0.00     0.00  titan::core::set_nonblocking(int)
  0.00      0.37     0.00    21690     0.00     0.00  titan::core::Server::proxy_to_backend(titan::core::Connection&, titan::gateway::RequestContext&)
  0.00      0.37     0.00    21681     0.00     0.00  titan::core::Server::handle_http1(titan::core::Connection&)
  0.00      0.37     0.00    21675     0.00     0.00  titan::core::Server::process_request(titan::core::Connection&)
  0.00      0.37     0.00    21674     0.00     0.00  titan::http::Parser::reset()
  0.00      0.37     0.00    21667     0.00     0.00  titan::core::Server::connect_to_backend_async(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned short)
  0.00      0.37     0.00    21665     0.00     0.00  std::_Optional_payload_base<titan::control::TransformConfig>::_M_copy_assign(std::_Optional_payload_base<titan::control::TransformConfig> const&)
  0.00      0.37     0.00    21663     0.00     0.00  titan::logging::generate_correlation_id[abi:cxx11]()
  0.00      0.37     0.00    21658     0.00     0.00  titan::gateway::BackendConnectionPool::acquire(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned short)
  0.00      0.37     0.00    21656     0.00     0.00  titan::gateway::Upstream::healthy_count() const
  0.00      0.37     0.00    21655     0.00     0.00  std::__detail::_Map_base<int, std::pair<int const, std::pair<int, int> >, std::allocator<std::pair<int const, std::pair<int, int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](int const&)
  0.00      0.37     0.00    21650     0.00     0.00  titan::core::Server::handle_read(int)
  0.00      0.37     0.00    21622     0.00     0.00  titan::gateway::Pipeline::execute_request(titan::gateway::RequestContext&)
  0.00      0.37     0.00    21614     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::pair<int, int> >, std::allocator<std::pair<int const, std::pair<int, int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<int const, std::pair<int, int> >, false>*, unsigned long)
  0.00      0.37     0.00    21612     0.00     0.00  e843419@0014_00000e50_2004
  0.00      0.37     0.00    21608     0.00     0.00  titan::gateway::Router::match(titan::http::Method, std::basic_string_view<char, std::char_traits<char> >) const
  0.00      0.37     0.00    21600     0.00     0.00  titan::gateway::ProxyMiddleware::process_request(titan::gateway::RequestContext&)
  0.00      0.37     0.00    21595     0.00     0.00  titan::http::Parser::on_url(llhttp__internal_s*, char const*, unsigned long)
  0.00      0.37     0.00    21550     0.00     0.00  titan::gateway::CircuitBreaker::should_allow_request()
  0.00      0.37     0.00    21542     0.00     0.00  titan::gateway::CorsMiddleware::process_request(titan::gateway::RequestContext&)
  0.00      0.37     0.00    21518     0.00     0.00  titan::http::to_string(titan::http::Method)
  0.00      0.37     0.00    11158     0.00     0.00  titan::http::Response::~Response()
  0.00      0.37     0.00     1318     0.00     0.00  nlohmann::json_abi_v3_12_0::detail::lexer<nlohmann::json_abi_v3_12_0::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_12_0::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_12_0::detail::iterator_input_adapter<char const*> >::get()
  0.00      0.37     0.00     1158     0.00     0.00  quill::v11::FileSink::flush_sink()
  0.00      0.37     0.00      644     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char)
  0.00      0.37     0.00      275     0.00     0.00  titan::core::TlsErrorCategory::~TlsErrorCategory()
  0.00      0.37     0.00      272     0.00     0.00  std::shared_ptr<quill::v11::Sink> quill::v11::detail::SinkManager::create_or_get_sink<quill::v11::RotatingSink<quill::v11::FileSink>, quill::v11::RotatingFileSinkConfig&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, quill::v11::RotatingFileSinkConfig&)
  0.00      0.37     0.00      194     0.00     0.00  nlohmann::json_abi_v3_12_0::detail::lexer<nlohmann::json_abi_v3_12_0::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_12_0::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_12_0::detail::iterator_input_adapter<char const*> >::scan()
  0.00      0.37     0.00      154     0.00     0.00  std::filesystem::__cxx11::path::~path()
